bus,source,absolute_source,binding_endpoint
18,2.9047985068825333,2.9047985068825333,true
40,-10.609641352218517,10.609641352218517,true
48,0.508053139113269,0.508053139113269,true
52,-0.455038682791705,0.455038682791705,true
53,5.880077401115293,5.880077401115293,true
54,-5.425038718323317,5.425038718323317,true
65,-2.0058936417768747,2.0058936417768747,true
68,10.609641352216189,10.609641352216189,true
69,2.0058936417770448,2.0058936417770448,true
72,-2.9047985068830124,2.9047985068830124,true
98,-73.55751487384225,73.55751487384225,true
100,73.55751487384218,73.55751487384218,true
105,12.32720274269081,12.32720274269081,true
109,-11.925670292835122,11.925670292835122,true
111,-12.327202742691194,12.327202742691194,true
122,3.980737611750254,3.980737611750254,true
123,-3.9807376117503033,3.9807376117503033,true
170,0.01187154335453977,0.01187154335453977,true
171,-0.011871543354436298,0.011871543354436298,true
258,-0.5080531391132262,0.5080531391132262,true
263,11.925670292835719,11.925670292835719,true
