bus,observed_marginal_emissions,exact_marginal_emissions
52,0.5397522322682562,0.5397519623902177
53,0.8203673567977603,0.8204000000000342
69,0.8204000000259839,0.8204000000000008
72,0.43262909545501316,0.4325964575840985
100,2.587032777177228,2.5870654149411823
122,0.8203999999523148,0.8204000000010095
123,0.5150497880331386,0.5150495306382402
170,0.820432529093523,0.8204000000000001
171,0.8200606575410347,0.8200602748313622
245,-0.41868731056638353,-0.41868731108208634
258,0.5173002586425355,0.5172999999999993
263,0.8204004102472027,0.820400000000012
