uncertainty_scale,closest_kappa,exit_probability_bound,empirical_exit_probability,empirical_lower,empirical_upper,samples,case_name,plot_empirical_probability,plot_probability_bound
0.35,4.433325562816331,5.4047004592877056e-5,0.0,0.0,7.682327414500052e-5,50000,pglib_opf_case118_ieee,1.0e-5,5.4047004592877056e-5
0.4764705882352941,3.2565786541675514,0.0051291578452684,0.00044,0.0002906007706192614,0.0006661548990444914,50000,pglib_opf_case118_ieee,0.00044,0.0051291578452684
0.6029411764705882,2.5734914242689926,0.040570237131560126,0.00558,0.004963976407402542,0.006271989519002999,50000,pglib_opf_case118_ieee,0.00558,0.040570237131560126
0.7294117647058823,2.127281217641707,0.12747704153389422,0.01964,0.018460129261476475,0.020893676394460114,50000,pglib_opf_case118_ieee,0.01964,0.12747704153389422
0.8558823529411764,1.8129406940726576,0.2587312806276144,0.04426,0.04249197756628612,0.046098045311631565,50000,pglib_opf_case118_ieee,0.04426,0.2587312806276144
0.9823529411764705,1.5795381496261778,0.4133968273402475,0.07762,0.0753069794413758,0.07999791778769091,50000,pglib_opf_case118_ieee,0.07762,0.4133968273402475
1.1088235294117648,1.3993786259287622,0.5725791785112088,0.11538,0.11260918543517794,0.11820991010022534,50000,pglib_opf_case118_ieee,0.11538,0.5725791785112088
1.2352941176470589,1.256108909464627,0.7243854572647284,0.15448,0.15133872959705416,0.15767435835831098,50000,pglib_opf_case118_ieee,0.15448,0.7243854572647284
1.361764705882353,1.1394508465985815,0.8629933775797232,0.19224,0.18880966461568544,0.19571762164601625,50000,pglib_opf_case118_ieee,0.19224,0.8629933775797232
1.488235294117647,1.042620043429137,0.9864632307978295,0.2301,0.2264315640359198,0.23380990516746364,50000,pglib_opf_case118_ieee,0.2301,0.9864632307978295
1.6147058823529412,0.9609576356559988,1.0,0.26326,0.25941806728238515,0.2671383070014569,50000,pglib_opf_case118_ieee,0.26326,1.0
1.7411764705882353,0.8911583479309853,1.0,0.29338,0.2894050907495128,0.29738665570029477,50000,pglib_opf_case118_ieee,0.29338,1.0
1.8676470588235294,0.8308121920868399,1.0,0.32136,0.31728050940100455,0.32546693801838184,50000,pglib_opf_case118_ieee,0.32136,1.0
1.9941176470588236,0.7781205633851671,1.0,0.3471,0.342939222999975,0.3512842695572585,50000,pglib_opf_case118_ieee,0.3471,1.0
2.1205882352941177,0.731713927843472,1.0,0.36944,0.365219616799182,0.3736804432941626,50000,pglib_opf_case118_ieee,0.36944,1.0
2.2470588235294118,0.6905310758836954,1.0,0.39106,0.3867912023280385,0.39534553592693217,50000,pglib_opf_case118_ieee,0.39106,1.0
2.373529411764706,0.6537369789035233,1.0,0.41,0.4056960443656762,0.4143177838236698,50000,pglib_opf_case118_ieee,0.41,1.0
2.5,0.6206655787942863,1.0,0.42864,0.42430789691628107,0.43298306730140484,50000,pglib_opf_case118_ieee,0.42864,1.0
