case_name,case_short,buses,facets,closest_facet,facet_kind,kappa_independent,exit_bound,facet_concentration,aggregate_ratio,kappa_correlated,kappa_correlated_predicted,availability_percent_independent,availability_percent_correlated
pglib_opf_case14_ieee,14,14,46,primal_gen_lower_2,generator,7.860832558288843,1.907942975199834e-15,1.0,5.881112826588832,4.237934147305372,4.237934147305373,4.0,2.4996427612304686
pglib_opf_case30_ieee,30,30,89,primal_gen_upper_2,generator,26.654881550592865,7.855319511615115e-157,1.0,6.107282512703735,14.139692516133739,14.139692516133737,4.0,4.0
pglib_opf_case57_ieee,57,57,168,primal_gen_upper_3,generator,0.6956912920215166,0.24331109005022716,1.0,5.6057742867777645,0.3827980352676314,0.38279803526763145,0.41032147216796877,0.2257362823486328
pglib_opf_case118_ieee,118,118,422,primal_gen_lower_22,generator,1.5516639469857159,0.08318270879548403,0.7257677423860229,35.64945802731861,0.36247569303829386,0.3624756930382939,0.857231201171875,0.21377638244628905
pglib_opf_case162_ieee_dtc,162,162,581,primal_line_lower_5,line,3.121263458763217,0.0009003842529686553,0.9999999999999996,26.286628405822643,0.8450268092155144,0.8450268092155145,1.8409939880371096,0.49837318420410154
pglib_opf_case179_goc,179,179,556,primal_line_upper_250,line,1.1173792363464972,0.14086083050524187,0.9364995516204827,17.088234738679425,0.37155020218786794,0.37155020218786805,0.6583673553466796,0.21914613342285155
pglib_opf_case240_pserc,240,240,1034,primal_gen_lower_42,generator,1.4371698531886694,0.17565620187809944,0.4288767921209689,1.142128495675783,1.3886741052723928,1.3886741052723932,0.7240857849121093,0.4092841339111328
pglib_opf_case300_ieee,300,300,891,primal_gen_lower_10,generator,0.7908416368202947,0.21451832291380632,0.9999994491409856,24.462456681636123,0.22164318001688407,0.22164318001688418,0.4664597778320312,0.13072830200195312
pglib_opf_case588_sdet,588,588,1468,primal_gen_upper_78,generator,0.21056883509810878,0.4203020014861654,0.9912202774141362,0.3492072764430396,0.2563715062668831,0.2563715062668831,0.12419917297363281,0.1511699676513672
pglib_opf_case1354_pegase,1354,1354,4239,primal_gen_lower_68,generator,2.3586302288404846,0.009171293784854633,0.9999964596002962,61.588347053744855,0.4216267114498108,0.42162671144981084,1.3907281646728518,0.2486797637939453
