policy,t,median_risk_ratio,q10_risk_ratio,q90_risk_ratio,median_tail_margin_ratio,q10_tail_margin_ratio,q90_tail_margin_ratio,median_lme_error,empirical_ucb_coverage
leverage,42,1.1612937499236782,1.1492421938479827,1.172578407978286,1.0776333890343295,1.0720271366280012,1.0828565897880291,0.009246257441169128,1.0
leverage,43,1.1607405737749166,1.1496544658526837,1.1733390833486328,1.0773767023125156,1.0722193747058353,1.0832077673345661,0.009308371213594518,1.0
leverage,44,1.160899814076466,1.149709535241145,1.1730718313614152,1.0774506006731661,1.072245051787243,1.0830843948090856,0.009426744175684502,1.0
leverage,45,1.151097002685712,1.137431999141895,1.1633418010503425,1.0728918868078305,1.0665045655648695,1.0785832359349294,0.009233392913408113,1.0
leverage,46,1.1510346989246107,1.1374962844728491,1.1634771191909443,1.0728628518641101,1.0665347048418683,1.0786459654366765,0.009267208712034031,1.0
leverage,47,1.1464355690638697,1.1356439697590668,1.1588682359827764,1.0707173144746258,1.0656659724816966,1.0765074174697051,0.009188373129274594,1.0
leverage,48,1.145272920316498,1.133452121110095,1.157865528314646,1.0701742475298084,1.0646370840437758,1.0760415955317075,0.009099235887186755,1.0
leverage,49,1.1423233176512055,1.1312577116489089,1.1548678806403432,1.0687952642645717,1.0636059938547922,1.0746477748786263,0.008651828546034142,1.0
leverage,50,1.1424005736920453,1.1313696630610495,1.1549652811984537,1.068831405554708,1.0636586207061711,1.0746930921516213,0.008598345941144218,1.0
leverage,51,1.1424735287507501,1.1314423598563401,1.1550380489631302,1.0688655334274373,1.0636927931523479,1.0747269467340668,0.008604422256299364,1.0
leverage,52,1.142545307432444,1.1315136911205652,1.155110412674825,1.0688991099403609,1.0637263226361975,1.0747606122956959,0.008607336083621613,1.0
leverage,53,1.1426170546903962,1.1315849912559477,1.1551827446804332,1.06893267069995,1.0637598364316863,1.0747942620529827,0.00863043442412268,1.0
leverage,54,1.1419878516537678,1.1311714965299478,1.1555632562987852,1.0686383165451052,1.0635654641080325,1.0749712815025705,0.008796880169753387,1.0
leverage,55,1.1418561232618119,1.1310820456217607,1.1554593551705965,1.0685766805680812,1.063523410930649,1.0749229531199305,0.008700839621451632,1.0
leverage,56,1.1350747758897703,1.1261384737472302,1.1467626247240714,1.0653988809744657,1.0611967036062646,1.0708700316581077,0.008399698867858876,1.0
leverage,57,1.13511188684202,1.1260934968738254,1.1468047329131192,1.065416296879238,1.0611755133877898,1.0708896921705873,0.008354148130584303,1.0
leverage,58,1.1321997530568617,1.123382563641093,1.1451280256227558,1.0640487501158296,1.0598974306054467,1.0701065485038501,0.008227190660177987,1.0
leverage,59,1.1315826925819454,1.1225395542555698,1.1440591009047612,1.0637587526355574,1.0594996714036629,1.0696069840034188,0.008234969715800004,1.0
leverage,60,1.1285567268253822,1.1194097936627496,1.1391871847838562,1.0623355053945063,1.0580216413857781,1.06732712120571,0.008019979144167484,1.0
leverage,61,1.1283053454763263,1.1178319308528057,1.137936851055337,1.0622171831585354,1.0572757118157456,1.0667412140200458,0.007977423736822276,1.0
