policy,seed,t,selected_bus,observation,true_risk,risk_hat,risk_upper,risk_ratio,ell_relative_error,covered,case_name
risk_trace,0,1,9,0.3257103390052158,4.741854642593216,1.1923172371547068,406410.74832375173,85707.12916275616,0.9356366718939327,true,pglib_opf_case57_ieee
risk_trace,0,2,8,0.8210499434652664,4.741854642593216,4.565216839857033,6.594432526804636,1.390686350351365,0.02068828086323138,true,pglib_opf_case57_ieee
risk_trace,0,3,9,0.34185874895322593,4.741854642593216,4.6607576352199045,6.22679233283898,1.3131554638785141,0.009511986218489896,true,pglib_opf_case57_ieee
risk_trace,0,4,9,0.3494160268349285,4.741854642593216,4.723262869009809,6.112207759082314,1.2889909581327197,0.00231956229609165,true,pglib_opf_case57_ieee
risk_trace,0,5,8,0.807489317224595,4.741854642593216,4.679153840926711,5.901321447499546,1.244517576412305,0.00668068748346708,true,pglib_opf_case57_ieee
risk_trace,0,6,9,0.3440945374642031,4.741854642593216,4.694509709971215,5.800013216489875,1.223152891358554,0.0052552926281622565,true,pglib_opf_case57_ieee
risk_trace,0,7,9,0.3174000918603569,4.741854642593216,4.639602477738788,5.662308413655732,1.1941126079223594,0.01084385983148978,true,pglib_opf_case57_ieee
risk_trace,0,8,8,0.8032188457468064,4.741854642593216,4.615811178008007,5.566719217745353,1.1739539984509177,0.013343141890643206,true,pglib_opf_case57_ieee
risk_trace,0,9,9,0.3572179269646501,4.741854642593216,4.658767200103636,5.556846995934654,1.1718720658412543,0.009071015726463863,true,pglib_opf_case57_ieee
risk_trace,0,10,9,0.31366297092292705,4.741854642593216,4.614940373371874,5.465201699183896,1.1525451771746207,0.013435032944382764,true,pglib_opf_case57_ieee
risk_trace,0,11,8,0.8429443540155466,4.741854642593216,4.667294540031218,5.479782151409178,1.1556200188398027,0.008212396773101744,true,pglib_opf_case57_ieee
risk_trace,0,12,9,0.35089348744920806,4.741854642593216,4.6901808950879325,5.469312471415412,1.153412089499303,0.00559707315303998,true,pglib_opf_case57_ieee
risk_trace,0,13,9,0.3234185000495439,4.741854642593216,4.671372684113959,5.420079547968729,1.1430294592506967,0.007744238136109905,true,pglib_opf_case57_ieee
risk_trace,0,14,8,0.8141935001095156,4.741854642593216,4.665550282694352,5.385405702949052,1.1357171631907916,0.008268194320585821,true,pglib_opf_case57_ieee
risk_trace,0,15,9,0.3202005470772689,4.741854642593216,4.646711433351249,5.3402346027243,1.126191122510631,0.01042259079439584,true,pglib_opf_case57_ieee
risk_trace,0,16,9,0.35290113233979875,4.741854642593216,4.666828525273539,5.341331696744829,1.1264224864184729,0.008122813545596326,true,pglib_opf_case57_ieee
risk_trace,0,17,8,0.8301543822304381,4.741854642593216,4.680233380582836,5.33445368971996,1.124971997623838,0.006954706974738694,true,pglib_opf_case57_ieee
risk_trace,0,18,9,0.3499907060866906,4.741854642593216,4.694150092470514,5.331047583269691,1.1242536908204883,0.005350632493625476,true,pglib_opf_case57_ieee
risk_trace,0,19,9,0.3601261954320636,4.741854642593216,4.715342397489797,5.337855220537553,1.125689339481397,0.002919810575864481,true,pglib_opf_case57_ieee
risk_trace,0,20,8,0.8488410868599017,4.741854642593216,4.742400159525547,5.349907563185398,1.1282310333029633,0.0021941316154173796,true,pglib_opf_case57_ieee
risk_trace,1,1,9,0.33814664628281343,4.741854642593216,1.2851058551763814,406423.60905048624,85709.84133503976,0.9355087746367211,true,pglib_opf_case57_ieee
risk_trace,1,2,8,0.839601231228281,4.741854642593216,4.835079725881074,6.921097756866657,1.4595761107265113,0.012384939254640138,true,pglib_opf_case57_ieee
risk_trace,1,3,9,0.32570354355254916,4.741854642593216,4.760130199707566,6.337720934316285,1.3365489691287384,0.011246123713655529,true,pglib_opf_case57_ieee
risk_trace,1,4,9,0.3141093026003189,4.741854642593216,4.689476029474048,6.070047260494955,1.280099817057104,0.015467417918565573,true,pglib_opf_case57_ieee
